"job_ref","packet","flow","task_type","status","luke_action_required","lane_class","reason"
"SO21-PROOF-CLOSURE-RULES","MGR_SO21_PROOF_CLOSURE_RULES.md","SO21","control_process","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-PROPOSAL-REPORT-STANDARD","MGR_SO21_PROPOSAL_REPORT_STANDARD.md","SO21","management_standard","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-QUEUE-MOVEMENT-BOARD","MGR_SO21_QUEUE_MOVEMENT_BOARD.md","SO21","control_visibility","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-RUNTIME-CONTROL-SCHEDULER-STATE-ADDENDUM","MGR_SO21_RUNTIME_CONTROL_SCHEDULER_STATE_ADDENDUM.md","SO21","runtime_control_planning_update","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-RUNTIME-MAINTENANCE-CONTROL","MGR_SO21_RUNTIME_MAINTENANCE_CONTROL.md","SO21","planning_only_runtime_control","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-RUNTIME-MAINTENANCE-CONTROL-REVIEW","MGR_SO21_RUNTIME_MAINTENANCE_CONTROL_REVIEW.md","SO21","reviewer_packet","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"SO21-RUNTIME-STATUS-READONLY-DESIGN","MGR_SO21_RUNTIME_STATUS_READONLY_DESIGN.md","SO21","maintenance_mode_design","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-SCRIPT-STATUS-HEALTH-MAP","MGR_SO21_SCRIPT_STATUS_HEALTH_MAP.md","SO21","maintenance_status_planning","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-SCHEDULER-STATE-RECONCILIATION","MGR_SO21_SCHEDULER_STATE_RECONCILIATION.md","SO21","read_only_scheduler_reconciliation","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-TASK-SCHEDULER-NEW-STYLE-REVIEW","MGR_SO21_TASK_SCHEDULER_NEW_STYLE_REVIEW.md","SO21","scheduler_style_review","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-THREAD-ROLE-HYGIENE","MGR_SO21_THREAD_ROLE_HYGIENE.md","SO21","control_hygiene","proved","0","parked with reason","Already proved/closed; no worker needed now"
"A-A003-SQL-INVENTORY","MOT_A_A003_SQL_INVENTORY_HISTORY.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"A-MAINTENANCE-HANDOFF","MOT_A_A_MAINTENANCE_HANDOFF_PROOF.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"A-MANIFEST","MOT_A_A_LATEST_MANIFEST.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"A-MANIFEST-STEP-TRAVERSAL","MOT_A_A_MANIFEST_STEP_TRAVERSAL.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-ACTIVE-FAIL-GROUP","MGR_B_repair_out_systems_M_hourly_mot.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-BACKDATE-RECOVERY-QUARANTINE","MOT_B_B_BACKDATE_RECOVERY_QUARANTINE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-CLASSIFY-ACTIVE-GROUP","MGR_B_classification_out_systems_M_hourly_mot.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-EVIDENCE-USERS-LUKE","MGR_B_repair_C_Users_Luke_Desktop_Sel.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-FUTURE-MARKETPLACE-ORDER","MOT_B_B_FUTURE_MARKETPLACE_ORDER_CURSORS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-MAINTENANCE-MARKER","MOT_B_B_MAINTENANCE_MARKER_STATE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-MANAGEMENT-READY-FOR","MOT_B_B_MANAGEMENT_READY_FOR_MAINTENANCE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-MARKETPLACE-COVERAGE-REPORT","MOT_B_B_MARKETPLACE_COVERAGE_REPORT.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-MARKETPLACE-SELLERBOARD-GAPS","MOT_B_B_MARKETPLACE_SELLERBOARD_GAPS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-MARKETPLACE-SHARED-CURSOR","MOT_B_B_MARKETPLACE_SHARED_CURSOR_RISK.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-ORDER-TRUTH-COMPLETION","MOT_B_B_ORDER_TRUTH_COMPLETION.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-REFUND-FEE-SHIPPING-02","MOT_B_B_REFUND_FEE_SHIPPING_GAP_REVIEW.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-REFUND-PNL-ROI","MOT_B_B_REFUND_PNL_ROI_API_PROOF.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-REFUND-TOKEN-BRIDGE","MOT_B_B_REFUND_RETURN_TOKEN_BRIDGE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-REFUND-WARNING-WORKPACK","MOT_B_B_REFUND_RETURN_WARNING_WORKPACK.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-SELLERBOARD-EMAIL-ADMIN","MOT_B_B_SELLERBOARD_EMAIL_ADMIN_INBOX_ACCESS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-SELLERBOARD-EMAIL-ATTACHMENT","MOT_B_B_SELLERBOARD_EMAIL_ATTACHMENT_ARRIVED.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-SELLERBOARD-ORDER-RECONCILIATION","MOT_B_B_SELLERBOARD_ORDER_RECONCILIATION.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-SELLERBOARD-REFUND-FEE","MOT_B_B_SELLERBOARD_REFUND_FEE_ROI_BRIDGE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-STOCK-RECEIPT-TOKEN","MOT_B_B_STOCK_RECEIPT_TOKEN_SYNC.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-SUPERVISOR-OWNER","MOT_B_B_SUPERVISOR_OWNER.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"B-WORKER-OWNER","MOT_B_B_WORKER_OWNER.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"E-ACTIVE-GROUP-OUT","MGR_E_repair_out_systems_M_hourly_mot.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"E-ADD-OR-CONFIRM","MGR_E_proof_gap_project_control_EXPECTAT.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"E-CLASSIFY-ACTIVE-GROUP","MGR_E_classification_out_systems_M_hourly_mot.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"E-SCHEMA-CONTRACTS","MOT_E_E_SCHEMA_CONTRACTS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-ACTIVE-FAIL-GROUP","MGR_F_repair_out_systems_M_hourly_mot.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-CLASSIFY-ACTIVE-WARN","MGR_F_classification_out_systems_M_f_price_li.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-CLASSIFY-ACTIVE-WARN","MGR_F_classification_out_systems_M_hourly_mot.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-CHILD-SCANNER-HEARTBEAT","MOT_F_F_CHILD_SCANNER_HEARTBEAT.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-DHB-FORWARD-PROGRESS","MGR_F_repair_f_live_owner_status.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-EMAIL-SOURCE","MOT_F_F_EMAIL_PRICE_LIST_SOURCE_PROOF.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-LOGIN-MODE","MOT_F_F_LOGIN_MODE_STATE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-REVIEW-AI-PRODUCTION","MOT_F_F_REVIEW_AI_PRODUCTION_READINESS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-SCANNER-PROGRESS","MOT_F_F_LIVE_OWNER_STATUS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-SELLER-CENTRAL-ELIGIBILITY","MOT_F_F_SELLER_CENTRAL_ELIGIBILITY_AUTH_STATE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"F-SELLER-CENTRAL-MFA-COOLDOWN-POLICY","MGR_F_SELLER_CENTRAL_MFA_COOLDOWN_POLICY.md","F","planning_only_login_safety","approved","0","safe to start next","Approved non-Luke control/read-only/planning lane; check packet boundaries before assigning"
"F-STORAGE-DRIFT-CLEAR","MOT_F_F_STORAGE_DRIFT_CLEAR.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-ACTIVE-FAILURES-2026-02","MGR_H_repair_H_REPAIR_PACKAGE_MGR_H_repair_out_cycle_alerts_checkli_20260527_current_failures.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-ACTIVE-GROUP-OUT-02","MGR_H_repair_out_systems_M_hourly_mot.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-BOUNDARY-FINALIZER-TRUTH","MOT_H_H_BOUNDARY_FINALIZER_TRUTH.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-FLOOR-CEILING-SAFETY","MOT_H_H_FLOOR_CEILING_SAFETY_FIELDS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-MANIFEST","MOT_H_H_LATEST_MANIFEST_STATE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-MARKET-CONTEXT","MOT_H_H_MARKET_CONTEXT_PROOF.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-PLAN-INDEPENDENT-LAYER","MGR_H_proof_gap_project_control_EXPECTAT.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-READINESS","MOT_H_H_MANAGER_READINESS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-RELIABILITY-WINDOW-02","MOT_H_H_RELIABILITY_WINDOW.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"H-TERMINAL-PUBLISH-TRUTH","MOT_H_H_TERMINAL_PUBLISH_TRUTH.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"O-ACTIVE-RESTOCK-FILES","MOT_O_O_ACTIVE_RESTOCK_PROOF_FILES.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"O-MAINTENANCE-CONTROLLER-GATE","MOT_O_O_H_MAINTENANCE_CONTROLLER_GATE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"O-MARKET-GATE","MOT_O_O_H_MARKET_PROOF_GATE.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"O-USER-WORKING-READINESS","MOT_O_O_USER_WORKING_READINESS.md","","","approved","0","safe to start next","Approved non-Luke packet; assign only after Operations confirms no protected runtime/business action"
"SO21-LEGACY-CONTROL-RETIREMENT-MANIFEST","MGR_SO21_LEGACY_CONTROL_RETIREMENT_MANIFEST_V1.md","SO21","custodian_manifest","approved","0","safe to start next","Approved non-Luke control/read-only/planning lane; check packet boundaries before assigning"
"F-MANAGER-SNAPSHOT-CURRENT","MOT_F_F_MANAGER_SNAPSHOT_CURRENT.md","","","fixed_needs_retest","0","waiting proof/review","Worker output exists and needs reviewer/retest closure"
"SO21-REP-BRIEFING-FIRST-RUN-PROOF","MGR_SO21_REP_BRIEFING_FIRST_RUN_PROOF.md","SO21","control_proof","fixed_needs_retest","0","waiting proof/review","Worker output exists and needs reviewer/retest closure"
