dataset_id,dataset_name,dataset_family,owner_cycle,canonical_path,allowed_mirror_paths,writer_scripts,consumer_scripts,dataset_type,update_frequency,decision_importance_0_10,freshness_score_0_10,reliability_score_0_10,completeness_score_0_10,overall_data_performance_score_0_10,status,schema_ref,notes,last_scored_utc
B.TOKEN_EVENTS,Token Events,Tokens,B,out/token_events.csv,,scripts/flows/B/B012_build_token_events_append.py,scripts/flows/B/B013_build_token_weekly_drift.py|scripts/flows/B/B014_build_token_daily_checklist.py|scripts/flows/B/B021_build_token_proof_pack.py,event_log,per_cycle_run,8,7,6,7,6.85,Baselining,header:event_id|event_ts|event_type|token_id|order_id|sku|qty,Append-only token event history built from allocations and adjustment feeds.,2026-03-16T00:00:00Z
B.REFUND_TOKEN_EVENTS,Refund Token Events,Tokens,B,out/refund_token_events.csv,,scripts/flows/B/B008_apply_refunds_to_tokens.py,scripts/flows/B/B012_build_token_events_append.py|scripts/flows/B/B021_build_token_proof_pack.py|scripts/flows/B/B023_build_token_system_report.py,event_log,event_based,7,6,6,6,6.20,Baselining,header:order_id|sku|refund_date|requested_qty|applied_qty|status|refund_event_id,Refund token action log; file can be empty when no refund events are present.,2026-03-16T00:00:00Z
B.STOCK_ADJUSTMENT_TOKEN_EVENTS,Stock Adjustment Token Events,Tokens,B,out/stock_adjustment_token_events.csv,,scripts/flows/B/B009_apply_stock_adjustments_to_tokens.py,scripts/flows/B/B012_build_token_events_append.py|scripts/flows/B/B020_build_adjustment_partials_action.py|scripts/flows/B/B021_build_token_proof_pack.py|scripts/flows/B/B023_build_token_system_report.py,event_log,per_cycle_run,8,6,6,6,6.40,Baselining,header:event_id|sku|event_date|event_type|quantity|applied_qty|status,Token adjustment action log sourced from stock_events_raw processing.,2026-03-16T00:00:00Z
B.ORDER_LEDGER_FX,Order Ledger FX,Finance,B,out/order_ledger_fx.csv,,scripts/flows/B/B006_build_fx_ledgers.py,scripts/flows/D/D001_build_pnl_daily.py|scripts/flows/D/D002_compare_settlement_to_pnl.py|scripts/flows/D/D004_build_order_master_audit.py|scripts/flows/D/D008_build_settlement_order_scope_report.py|scripts/flows/D/D010_build_pnl_day_breakdown.py|scripts/flows/D/D013_build_vat_report.py|scripts/flows/D/D015_enrich_fee_detail_ledger.py|scripts/flows/D/D018_update_manual_comparison_fx.py,master_table,continuous,9,7,6,7,7.05,Baselining,header:Order ID|SKU|currency_code|Price_Total|Margin_ExVAT|fx_rate_to_gbp,Canonical writer B006 for FX normalized order ledger used by D finance reports.,2026-03-16T00:00:00Z
B.FINANCIAL_LEDGER_FX,Financial Ledger FX,Finance,B,out/financial_ledger_fx.csv,,scripts/flows/B/B006_build_fx_ledgers.py,scripts/flows/D/D004_build_order_master_audit.py,master_table,continuous,8,7,6,7,6.85,Baselining,header:order_id|sku|posted_date|transaction_type|amount|currency|amount_gbp,Canonical writer B006 for FX normalized financial event ledger.,2026-03-16T00:00:00Z
E.SKU_SALES_VELOCITY,SKU Sales Velocity,Analytics,E,out/sku_sales_velocity.csv,,scripts/flows/E/E001_build_sales_velocity.py,scripts/flows/E/E003_build_restock_signals.py|scripts/flows/E/E004_build_performance_summary.py|scripts/flows/E/E010_publish_e_outputs.py|scripts/phase1/phase1_phase_engine.py|scripts/flows/A/A015_build_system_health_check.py,analytics_output,per_cycle_run,8,7,7,7,7.20,Baselining,header:sku|window_days|units_sold|velocity_units_per_day|asof_date,Primary E velocity signal for restock and performance analytics.,2026-03-16T00:00:00Z
E.SKU_ROI_SNAPSHOT,SKU ROI Snapshot,Analytics,E,out/sku_roi_snapshot.csv,,scripts/flows/E/E002_build_roi_snapshot.py,scripts/flows/E/E004_build_performance_summary.py|scripts/flows/E/E010_publish_e_outputs.py|scripts/flows/A/A015_build_system_health_check.py,analytics_output,per_cycle_run,9,7,6,7,7.05,Baselining,header:sku|window_days|revenue_exvat_gbp|cogs_exvat_gbp|profit_exvat_gbp|roi_exvat|asof_date,Core ROI signal used by E summaries and publish outputs.,2026-03-16T00:00:00Z
E.SKU_ROI_SNAPSHOT_BY_COUNTRY,SKU ROI Snapshot By Country,Analytics,E,out/sku_roi_snapshot_by_country.csv,,scripts/flows/E/E002_build_roi_snapshot.py,scripts/flows/A/A015_build_system_health_check.py|analyst_review,analytics_output,per_cycle_run,7,7,6,7,6.65,Baselining,header:sku|window_days|roi_exvat|asof_date|country_code,Country segmented ROI view for diagnostics and governance checks.,2026-03-16T00:00:00Z
E.SKU_RESTOCK_SIGNALS,SKU Restock Signals,Analytics,E,out/sku_restock_signals.csv,,scripts/flows/E/E003_build_restock_signals.py,scripts/flows/E/E004_build_performance_summary.py|scripts/flows/E/E010_publish_e_outputs.py|scripts/flows/A/A015_build_system_health_check.py,analytics_output,per_cycle_run,8,7,6,7,6.85,Baselining,header:sku|velocity_30d|available|days_of_stock_left|reorder_flag|suggested_reorder_qty|asof_date,Operational restock recommendation dataset for E outputs.,2026-03-16T00:00:00Z
E.STUDY_REPORT,E Study Report,Analytics,E,out/e_study_report.csv,,scripts/flows/E/E005_build_study_report.py,scripts/flows/E/E010_publish_e_outputs.py|scripts/flows/A/A015_build_system_health_check.py,report,per_cycle_run,7,7,6,7,6.65,Baselining,header:study_rank|sku|asof_date|reorder_flag|velocity_30d|roi_exvat_30d,Readable decision report generated from E analytic outputs.,2026-03-16T00:00:00Z
H.HOS_DAILY_MARKET_SNAPSHOT_LATEST,HOS Daily Market Snapshot Latest,Market_Intel,H,out/hos_daily_market_snapshot_latest.csv,,scripts/flows/H/H004_build_daily_market_snapshot.py,scripts/flows/H/H005_build_daily_market_reports.py|scripts/flows/A/A015_build_system_health_check.py,snapshot,daily,8,5,5,6,5.80,Baselining,header:asof_date|marketplace|sku|asin|buy_box_price_used_gross|offer_count_total,Canonical producer H004 writes dated snapshots; latest pointer path is currently not consistently materialized.,2026-03-16T00:00:00Z
H.HOS_DAILY_MARKET_HISTORY,HOS Daily Market History,Market_Intel,H,out/hos_daily_market_history.csv,,scripts/flows/H/H004_build_daily_market_snapshot.py,scripts/flows/H/H005_build_daily_market_reports.py,event_log,daily,8,7,6,7,6.85,Baselining,header:asof_date|marketplace|sku|asin|buy_box_price_used_gross|offer_count_total,Accumulating H market intel history for trend and reporting.,2026-03-16T00:00:00Z
H.SELLER_PROFILES,H Seller Profiles,Market_Intel,H,out/h_seller_profiles.csv,,scripts/cycles/run_H_pricing_cycle.py,scripts/cycles/run_H_pricing_cycle.py|scripts/flows/A/A015_build_system_health_check.py,analytics_output,per_cycle_run,8,7,6,7,6.85,Baselining,header:snapshot_file|asof_date|marketplace|sku|seller_id|rank_by_landed_price|tier,Built inside H cycle phase1_build_seller_profiles step as canonical writer.,2026-03-16T00:00:00Z
H.SELLER_OF_INTEREST,H Seller Of Interest,Market_Intel,H,out/h_seller_of_interest.csv,,scripts/cycles/run_H_pricing_cycle.py,scripts/cycles/run_H_pricing_cycle.py|scripts/flows/A/A015_build_system_health_check.py,analytics_output,per_cycle_run,8,7,6,7,6.85,Baselining,header:snapshot_file|asof_date|marketplace|sku|seller_id|tier|tier_reason,Built inside H cycle phase1_build_seller_profiles step for active cohort focus.,2026-03-16T00:00:00Z
B.L3_ORPHANS,L3 Orphans,Health_Governance,B,out/l3_orphans.csv,,scripts/flows/B/B004_build_order_master.py,scripts/flows/B/B011_recover_l3_orphans.py|scripts/flows/A/A015_build_system_health_check.py,health_signal,per_cycle_run,8,7,6,7,6.85,Baselining,header:Order ID|SKU,Order master integrity signal with B004 as canonical writer.,2026-03-16T00:00:00Z
B.L1_MISSING_FEE_KEYS,L1 Missing Fee Keys,Health_Governance,B,out/l1_missing_fee_keys.csv,,scripts/flows/B/B004_build_order_master.py,scripts/flows/A/A015_build_system_health_check.py|finance_diagnostics,health_signal,per_cycle_run,8,7,6,7,6.85,Baselining,header:Order ID|SKU,Fee-key integrity exception list from B004 build logic.,2026-03-16T00:00:00Z
B.ORDERS_MISSING_TOKENS,Orders Missing Tokens,Health_Governance,B,out/orders_missing_tokens.csv,,scripts/flows/B/B004_build_order_master.py,scripts/flows/B/B007_allocate_tokens_live.py|scripts/flows/A/A015_build_system_health_check.py,health_signal,per_cycle_run,9,7,6,7,7.05,Baselining,header:Order ID|SKU|Date|lvl|Quantity Ordered|currency_code,Token coverage exception file; canonical writer B004 with downstream B007 dependency.,2026-03-16T00:00:00Z
F.NEW_PRODUCT_REVIEW_PASS_PACK,New Product Review Pass Pack,Feeder,F,out/analysis_reports/f_live_price_file_pass_review_latest.csv,out/analysis_reports/f_live_price_file_pass_review_*.csv,scripts/one_off/F019_build_live_price_file_near_miss_pack.py,scripts/flows/O/O400_operator_ui.py|scripts/one_off/F021_build_new_product_review_fail_triage.py|scripts/one_off/F023_build_demand_range_bbp_conflict_audit.py|scripts/one_off/F025_build_history_risk_pass_conflict_audit.py|scripts/one_off/F026_build_uk_review_signal_audit.py|scripts/one_off/F027_build_profit_formula_conflict_audit.py|scripts/one_off/F028_build_dashboard_yes_no_rescan_plan.py,review_pack,per_build,8,7,7,7,7.15,Baselining,header:observed_utc|active_supplier_id|candidate_id|review_batch_id|review_priority_score,SQL primary table f_new_product_review_pack_rows with CSV compatibility export.,2026-04-29T00:00:00Z
F.NEW_PRODUCT_REVIEW_NEAR_MISS_PACK,New Product Review Near Miss Pack,Feeder,F,out/analysis_reports/f_live_price_file_near_miss_review_latest.csv,out/analysis_reports/f_live_price_file_near_miss_review_*.csv,scripts/one_off/F019_build_live_price_file_near_miss_pack.py,scripts/flows/O/O400_operator_ui.py|scripts/one_off/F021_build_new_product_review_fail_triage.py|scripts/one_off/F023_build_demand_range_bbp_conflict_audit.py|scripts/one_off/F026_build_uk_review_signal_audit.py|scripts/one_off/F027_build_profit_formula_conflict_audit.py|scripts/one_off/F028_build_dashboard_yes_no_rescan_plan.py|scripts/one_off/F029_build_history_borderline_near_miss_audit.py,review_pack,per_build,8,7,7,7,7.15,Baselining,header:observed_utc|active_supplier_id|candidate_id|near_miss_type|reviewability_state,SQL primary table f_new_product_review_pack_rows with CSV compatibility export.,2026-04-29T00:00:00Z
F.NEW_PRODUCT_REVIEW_SUMMARY,New Product Review Summary,Feeder,F,out/analysis_reports/f_live_price_file_review_summary_latest.csv,out/analysis_reports/f_live_price_file_review_summary_*.csv,scripts/one_off/F019_build_live_price_file_near_miss_pack.py,scripts/flows/O/O400_operator_ui.py,summary,per_build,8,7,7,7,7.15,Baselining,header:observed_utc|metric|value,SQL primary table f_new_product_review_summary with CSV compatibility export.,2026-04-29T00:00:00Z
F.FEEDER_REVIEW_EVENTS,Feeder Review Events,Feeder,F,out/systems/F/inbox/feeder_review_events.csv,,scripts/flows/O/O400_operator_ui.py,scripts/one_off/F019_build_live_price_file_near_miss_pack.py|scripts/one_off/F021_build_new_product_review_fail_triage.py|scripts/one_off/F023_build_demand_range_bbp_conflict_audit.py|scripts/flows/O/O400_operator_ui.py,event_log,event_based,8,8,7,7,7.55,Baselining,header:event_utc|event_id|active_supplier_id|active_run_id|candidate_id|review_decision,SQL primary table f_feeder_review_events with CSV compatibility export.,2026-04-29T00:00:00Z
O.FEEDER_REVIEW_UI_DRAFTS,Feeder Review UI Drafts,Operations,O,out/systems/O/live/feeder_review_ui_drafts.csv,,scripts/flows/O/O400_operator_ui.py,scripts/flows/O/O400_operator_ui.py,current_state,event_based,6,7,7,7,6.85,Baselining,header:updated_utc|active_supplier_id|active_run_id|candidate_id|draft_decision|draft_note,SQL primary table o_feeder_review_ui_drafts with CSV compatibility export.,2026-04-29T00:00:00Z
O.PRODUCT_DB_SOURCE_HEALTH,Product DB Source Health,Health_Governance,O,out/systems/O/live/product_db_source_health.csv,,scripts/flows/O/O030_build_product_db_operator_view.py,scripts/flows/O/O400_operator_ui.py|scripts/cycles/run_O_cycle.py,health_signal,per_build,9,8,7,8,7.90,Baselining,header:check|status|value|notes|observed_utc|source_path,Reports Product DB duplicate source headers and key checks before O view masking.,2026-05-01T00:00:00Z
SYS.PRODUCT_DB_SQL_CONTRACT_CHECK,Product DB SQL Contract Check,Health_Governance,System,out/sql_migration/product_db_contract/product_db_sql_contract_check.csv,out/sql_migration/product_db_contract/product_db_duplicate_asin_review.csv,scripts/one_off/P008_product_db_sql_contract_check.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,health_signal,on_demand,9,8,7,8,7.90,Baselining,header:check|status|value|notes|observed_utc|source_path,Non-destructive staged Product DB SQL contract proof. Fails closed before staged import when source schema is broken.,2026-05-01T00:00:00Z
O.REPRICER_TRACKER_VIEW,Repricer Tracker View,Repricing_Intelligence,O,out/systems/O/live/repricer_tracker_view.csv,,scripts/flows/O/O050_build_repricing_tracker_view.py,scripts/flows/O/O450_repricing_tracker_ui.py|scripts/flows/O/O400_operator_ui.py,current_state,per_build,9,8,7,7,7.75,Baselining,header:asof_utc|source_run_id|sku|tracker_status|raw_execution_write_status,Read-only UI replacement view backed by H runtime floor SQL/CSV output.,2026-05-01T00:00:00Z
O.REPRICER_TRACKER_HEALTH,Repricer Tracker Health,Health_Governance,O,out/systems/O/live/repricer_tracker_health.csv,,scripts/flows/O/O050_build_repricing_tracker_view.py,scripts/flows/O/O450_repricing_tracker_ui.py|scripts/cycles/run_O_cycle.py,health_signal,per_build,9,8,7,8,7.90,Baselining,header:check|status|value|notes|observed_utc|source_path,Reports tracker source schema blank write statuses and terminal/runtime mismatches.,2026-05-01T00:00:00Z
SYS.PRODUCT_DB_DUPLICATE_ASIN_CLASSIFICATION_REVIEW,Product DB Duplicate ASIN Classification Review,Health_Governance,System,out/sql_migration/product_db_contract/product_db_duplicate_asin_classification_review.csv,,scripts/one_off/P010_product_db_review_pack.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,review_pack,on_demand,8,8,7,8,7.65,Baselining,header:asin|match_count|seller_skus|suggested_classification|classification_status,Read-only duplicate-ASIN review pack. Suggestions are non-authoritative until business review chooses a reason or cleanup action.,2026-05-01T00:00:00Z
SYS.SCANNER_PRODUCT_DB_LINK_REVIEW,Scanner Product DB Link Review,Feeder,System,out/sql_migration/product_db_contract/scanner_product_db_link_review.csv,out/sql_migration/product_db_contract/product_db_review_pack_summary.json,scripts/one_off/P010_product_db_review_pack.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,review_pack,on_demand,8,8,7,8,7.65,Baselining,header:asin|supplier_sku|candidate_id|scanner_action|review_bucket|required_next_action,Read-only scanner link review output generated before any Product DB insert or update path is allowed.,2026-05-01T00:00:00Z
SYS.SCANNER_PRODUCT_DB_INSERT_EVENTS,Scanner Product DB Insert Events,Inventory,System,out/sql_migration/product_db_contract/scanner_product_db_insert_events.csv,out/sql_migration/product_db_contract/scanner_product_db_insert_summary.json,scripts/one_off/P011_apply_scanner_product_db_inserts.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,event_log,on_demand,9,8,7,8,7.90,Baselining,header:event_utc|event_id|apply_status|seller_sku|asin|supplier_sku,Approved non-UI scanner Product DB insert proof. Writes SQL Product DB table and refreshes local CSV mirror only when explicit apply flags are provided.,2026-05-01T00:00:00Z
SYS.SCANNER_IDENTITY_CHECK,Scanner Identity Check,Feeder,System,out/sql_migration/product_db_contract/scanner_identity_check.csv,out/sql_migration/product_db_contract/scanner_identity_check_summary.json|out/sql_migration/product_db_contract/scanner_same_asin_context.csv,scripts/one_off/P012_scanner_identity_check.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,health_signal,on_demand,8,8,7,8,7.65,Baselining,header:asin|supplier_sku|row_count|candidate_ids|status|reason,Local proof that scanner rows are unique by asin plus supplier_sku. Same ASIN with different supplier SKU is reported as context instead of an exact duplicate.,2026-05-01T00:00:00Z
SYS.REPRICING_WRITE_STATUS_PROOF,Repricing Write Status Proof,Repricing_Intelligence,System,out/sql_migration/product_db_contract/repricing_write_status_root_cause.csv,out/sql_migration/product_db_contract/repricing_write_status_proof_summary.json,scripts/one_off/P013_repricing_write_status_proof.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,health_signal,on_demand,9,8,7,8,7.90,Baselining,header:source_name|root_cause|row_count|example_skus|truth_statuses|current_cycle_decisions,Read-only proof summary for H repricer write statuses. It classifies blank execution_write_status rows and reports invalid nonblank statuses without changing H.,2026-05-01T00:00:00Z
SYS.PRODUCT_DB_EDIT_EVENT_APPLY,Product DB Edit Event Apply Proof,Inventory,System,out/sql_migration/product_db_contract/product_db_edit_event_apply_plan.csv,out/sql_migration/product_db_contract/product_db_edit_event_apply_summary.json|out/sql_migration/product_db_contract/product_db_edit_event_apply_log.csv,scripts/one_off/P014_apply_product_db_edit_events.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,event_log,on_demand,9,8,7,8,7.90,Baselining,header:observed_utc|event_id|seller_sku|asin|apply_status|reason|notes,Local-only Product DB edit-event apply proof. Defaults dry-run and writes local SQL plus mirror only with explicit apply confirmation.,2026-05-01T19:16:25Z
SYS.PRODUCT_DB_SQL_AUTHORITY_REHEARSAL,Product DB SQL Authority Rehearsal,Inventory,System,out/sql_migration/product_db_contract/product_db_sql_authority_rehearsal.csv,out/sql_migration/product_db_contract/product_db_sql_authority_rehearsal_summary.json,scripts/one_off/P015_product_db_sql_authority_rehearsal.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,health_signal,on_demand,9,8,7,8,7.90,Baselining,header:check|status|value|notes|observed_utc|source_path,Compares local SQL authority with CSV mirror and O Product DB view so stale mirror state is visible.,2026-05-01T19:16:25Z
SYS.REPRICER_TRACKER_UI_CUTOVER_CHECK,Repricer Tracker UI Cutover Check,Repricing_Intelligence,System,out/sql_migration/product_db_contract/repricer_tracker_ui_cutover_check.csv,out/sql_migration/product_db_contract/repricer_tracker_ui_cutover_summary.json,scripts/one_off/P016_repricing_tracker_ui_cutover_check.py,project_control/PRODUCT_DB_CONTRACT.md|project_control/TASK_QUEUE.md,health_signal,on_demand,9,8,7,8,7.90,Baselining,header:check|status|value|notes|observed_utc|source_path,Checks P013 and O050 evidence before treating the repricer tracker UI as cutover-ready with Sheet fallback.,2026-05-01T19:16:25Z
